"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CDK2AP2P2",0.148327868375383,-3.67504121484433,0.836323897147661,0.403304430352135,0.436569840792985,-7.31683976601671,"stable"
"AC107222.2",-0.192100215258301,-2.40056993451039,-0.97391906016326,0.330487758256634,0.362741025641758,-7.31691480462792,"stable"
"ZNF516",0.11527185595386,4.51390937609228,1.53116992498772,0.126252512048453,0.146718201848263,-7.31764780096253,"stable"
"SPATA1",0.083352253898697,-1.40163764870687,1.02701719733207,0.304824695503142,0.336654435714061,-7.31767624148487,"stable"
"AL049869.2",0.139625327515002,-1.96189342968453,0.987084664435285,0.323997549376522,0.356156873186147,-7.31848572245462,"stable"
"JTB",0.128042065877668,2.806973549208,1.35125239446302,0.177121994467168,0.202050498453612,-7.3187372830524,"stable"
"MIER3",-0.0841220999729071,4.80242264591682,-1.56053983056088,0.119157694868225,0.138882634098715,-7.31914811078511,"stable"
"TIMM8B",0.108587391509374,4.92418297977809,1.55794195245689,0.119772349680994,0.139544441821876,-7.31957709668781,"stable"
"AC079834.1",-0.151508961913601,-1.98567286001787,-0.997308688514717,0.319015248593712,0.351198392334001,-7.32006801939372,"stable"
"AC055764.2",-0.123899526101365,-3.05549964438672,-0.90959239582234,0.363401400788049,0.396561593729311,-7.32028754988657,"stable"
"RPL21P120",0.125889233343356,-3.46222232310322,0.85500341867132,0.392889270176866,0.426155876531499,-7.32030221162783,"stable"
"LERFS",-0.22427853280984,-2.81211610034637,-0.939033407560957,0.348090060612546,0.380953945268932,-7.32032572747661,"stable"
"AC069307.1",-0.124702430177762,-2.27160300460533,-0.975885977250758,0.32951280958245,0.36175978423244,-7.32065788742053,"stable"
"AL157400.2",-0.156851859931401,-3.00686947605426,-0.915261269373582,0.360420817291503,0.393512329508248,-7.32085152625865,"stable"
"SORBS2",0.201867528281911,6.44492521844533,1.62565941587163,0.104545291656363,0.122645738783216,-7.32130298867062,"stable"
"GLT1D1",-0.173390161389085,-0.593655006236935,-1.08423920934826,0.278692625714075,0.309437911240922,-7.32169757975299,"stable"
"THUMPD3-AS1",-0.128969082508742,3.23610020759233,-1.41818945768675,0.15665270885089,0.180033108860268,-7.32422512305322,"stable"
"MIR221",0.151627966525583,-4.32401889918875,0.761803039975553,0.446475798427055,0.479872889738884,-7.32547718454375,"stable"
"STRCP1",0.186708258347083,-3.15876909412946,0.873390966192778,0.382798139072826,0.41613621897586,-7.32587878104863,"stable"
"ANKRD1",-0.226687429762355,-0.64568683874078,-1.0778010134739,0.281554099508654,0.312408066380816,-7.32593077127756,"stable"
"EXOSC4",-0.121341150425336,3.24082357388786,-1.41464285373986,0.157690060993944,0.181132118728884,-7.32601415641654,"stable"
"AP000560.1",-0.145541683328873,-1.93751817528743,-0.996439065773317,0.319437060439423,0.351619445952123,-7.32603502410612,"stable"
"PKN2-AS1",0.115947309375981,-1.77487761974314,0.99233452721512,0.321432909261361,0.353497094467417,-7.32604184992663,"stable"
"AL117332.1",0.116469548336771,-1.18872477361741,1.02979158328272,0.303521262369322,0.33525632720797,-7.32610423584306,"stable"
"LINC01134",0.151374828946033,-0.488428087168368,1.07006688695117,0.285017892513235,0.316107538120574,-7.32669186671675,"stable"
"AC096540.1",0.110853858090547,-1.64443884202304,1.00010907918294,0.317659399589871,0.349777569683927,-7.32732131436522,"stable"
"TDP2",-0.111364985047869,5.97028974216844,-1.61376902031443,0.107101365549054,0.125479650998524,-7.32752395048437,"stable"
"A2M",-0.194346390725443,10.5107026588276,-1.69851108778135,0.0899278700266038,0.106320930027044,-7.32757889736268,"stable"
"AL358781.2",-0.12488486501443,-3.59310010218666,-0.852780150716478,0.394120263654288,0.427352792862004,-7.3280387519179,"stable"
"CEACAM5",-0.166586980038495,-4.73371094981247,-0.737753157682667,0.460951827254961,0.494638613317859,-7.3287529704106,"stable"
"ZNF436",0.10585983087978,4.60962239379632,1.52874534993902,0.126852643810484,0.147396450090864,-7.33063104400558,"stable"
"RANP1",-0.136070944028575,-3.17045182738133,-0.888182207957859,0.374797350084227,0.408190207012356,-7.33092167349128,"stable"
"AC087045.2",0.159085774337031,-3.33481327325079,0.849837239406108,0.395753308071712,0.429022835848027,-7.33191615227528,"stable"
"LAMTOR5-AS1",0.0843162823702049,0.497431491382176,1.13443362402114,0.257064051155011,0.286753259259783,-7.33236246703675,"stable"
"TSKU",-0.283198795541834,4.96144958236386,-1.57066492244255,0.116785733012632,0.136260185967567,-7.33268922558579,"stable"
"CELA2B",0.10742512480692,-3.25254307988597,0.862473206659695,0.388770488291875,0.422012725995213,-7.33340586488115,"stable"
"AC022417.1",-0.0978025035644203,-1.53757392340337,-1.01149733734588,0.31218467735634,0.344173337552557,-7.33404243820968,"stable"
"SEMA4F",-0.100192233517697,3.65181499796566,-1.44974130401787,0.147651237233658,0.170133008410711,-7.33535729929346,"stable"
"TMEM67",-0.0917329994361005,3.657322047104,-1.45178485403555,0.147082185701811,0.169535598772063,-7.33602385984447,"stable"
"AC018730.1",-0.174183115477346,0.296881810106091,-1.13002990377016,0.258913498921878,0.288696196169567,-7.33633091576671,"stable"
