"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"SLC24A4",2.28960737498713,-1.12176312872361,12.1332718744616,1.56967466231165e-23,1.417730813835e-22,42.8057046780504,"up"
"SKA3",2.08413886585597,0.0647575308796761,12.1451397979144,1.46319122226389e-23,1.32572825743541e-22,42.8040568838425,"up"
"CORO2B",-2.49000925582914,1.67892785795793,-12.191627947955,1.11124104677901e-23,1.01755396916493e-22,42.7856376069687,"down"
"GNLY",3.05111418340574,2.68425899094223,12.1689088628303,1.27116696884211e-23,1.15722577306276e-22,42.7624823000347,"up"
"LOC100506403",2.68325295010346,4.00354334698133,12.1881857797661,1.13411022112672e-23,1.03684054469976e-22,42.7111758413204,"up"
"RUNX1",2.68325295010346,4.00354334698133,12.1881857797661,1.13411022112672e-23,1.03684054469976e-22,42.7111758413204,"up"
"CGN",-2.30942824598979,3.93487513554892,-12.2170902629521,9.55805116919023e-24,8.80845026111402e-23,42.6951266684732,"down"
"RNF152",-2.2253267517723,6.54569069870923,-12.2238619678316,9.18262838927255e-24,8.48063024256046e-23,42.670564680614,"down"
"SPN",2.5893197933782,1.74354964216396,12.1388458607071,1.5187300398026e-23,1.37388006490814e-22,42.6514941986262,"up"
"KLRC2",2.94936365676348,-3.0815745251067,12.0877538839743,2.0551020895717e-23,1.83975987893795e-22,42.5993576047959,"up"
"MUC12",4.63335495358079,-0.863306642997785,12.0862199093164,2.07385058860579e-23,1.85539084924916e-22,42.5601637868012,"up"
"PALM3",-2.16188673153357,3.67898362534053,-12.1809973635855,1.18339892345936e-23,1.0807539770479e-22,42.5013381239743,"down"
"OIP5",2.00640084159435,-1.12997244520417,12.0774535854725,2.18432517108076e-23,1.95091748510655e-22,42.4727896735397,"up"
"AIF1L",-3.24422064436731,7.06951614052287,-12.1792034164355,1.19603011018746e-23,1.09113186787902e-22,42.433022197333,"down"
"F3",-2.57300073411148,2.36050631470007,-12.1434435568621,1.47795594529625e-23,1.33769777067691e-22,42.4195622060321,"down"
"XRCC2",2.02152907871381,0.0229937325716011,12.0774062876034,2.18493692203627e-23,1.95091748510655e-22,42.4058248324638,"up"
"XCL2",2.84173002096847,-1.1234931084912,12.0557569341967,2.48373977299125e-23,2.20741250346125e-22,42.361496120191,"up"
"RIC3",-2.30432330784354,2.05919302178098,-12.1258588196656,1.64008689002146e-23,1.47745137685607e-22,42.355812538266,"down"
"TMEM174",-4.65235474195435,4.14683890079877,-12.145793883396,1.45753732495969e-23,1.32130095045714e-22,42.3229635437958,"down"
"AVPR2",-2.94063568780574,0.335824035322059,-12.0899116827199,2.02901581585711e-23,1.81735209521229e-22,42.3214742613676,"down"
"LINC01738",3.61610951400272,-1.41896396265716,12.0445483452114,2.65416747932937e-23,2.35401819457265e-22,42.319826365482,"up"
"ARHGAP9",2.18933964194571,2.7626444501051,12.1001831784721,1.90931106511683e-23,1.71459520010361e-22,42.3066508597737,"up"
"RASD2",3.85369655983988,1.78950386283874,12.0726086286409,2.24788887796563e-23,2.00504699658955e-22,42.3041429658157,"up"
"CD81-AS1",2.43948753683372,-2.20897370646359,12.0227730330795,3.01943055129773e-23,2.66015849235366e-22,42.2038605479995,"up"
"MYL4",2.35008013967913,-0.931033123344658,12.0286598210504,2.91599253429381e-23,2.57297854832742e-22,42.1821026859744,"up"
"PCED1B-AS1",2.55897242250629,2.54255782826682,12.0713406344885,2.26482780545741e-23,2.01806473452118e-22,42.1773613950369,"up"
"HAPLN1",6.75847058165536,0.536715012439618,12.0242304496949,2.99348499401244e-23,2.63865049523421e-22,42.1759091181918,"up"
"ALOX15B",5.56156892097145,-0.591333129368427,12.0203119084983,3.06375633332885e-23,2.69507231876628e-22,42.1715514678348,"up"
"DMBT1",3.20585001985549,-2.67000401482624,12.0095331967943,3.26568231122222e-23,2.8683020912087e-22,42.1353579120119,"up"
"PYHIN1",2.66662794430416,0.824486788040961,12.0367974162126,2.77881707533357e-23,2.4595031337721e-22,42.1283283318996,"up"
"KISS1R",6.86725282356983,-1.10160834434774,11.9818474517069,3.8474891902434e-23,3.36215870101727e-22,41.9479548719125,"up"
"EBF2",4.06693433020697,1.5046449107037,12.0008354008958,3.43829192476111e-23,3.01222368879199e-22,41.9084706188061,"up"
"LOC101928335",5.48051775990433,-2.22817732806361,11.9688054089077,4.15643839882395e-23,3.61561834440395e-22,41.8853333487088,"up"
"TMEM233",2.52573648445641,0.33004316397844,11.9854978374339,3.76520714795074e-23,3.29359964694979e-22,41.8563261956655,"up"
"STAB1",2.09383443951248,6.01547349697249,12.0716795636923,2.26028763889831e-23,2.01506223219235e-22,41.7805989592454,"up"
"ZNF37CP",3.63507180554658,-3.07266707962557,11.9461768752301,4.75252283551873e-23,4.10510188727822e-22,41.7658366172477,"up"
"LINC02611",2.93401815018724,-2.80432581532785,11.9428821586836,4.84617197202281e-23,4.18179701746229e-22,41.745874676417,"up"
"KCNJ15",-2.49918928459583,6.7451947529543,-12.0655927451715,2.34322883957332e-23,2.08576445053023e-22,41.7415747133977,"down"
"CDH13",2.5153633818654,4.85134539007643,12.0392704084284,2.73842323004707e-23,2.42624580057953e-22,41.7116291948003,"up"
"HSPB7",-2.87032809738861,1.43057674890723,-12.0052837710726,3.34890210499752e-23,2.93690013945656e-22,41.7051548265567,"down"
"SNX20",2.63552246598227,1.95267620259605,11.9774285582495,3.94950447176202e-23,3.44780524753464e-22,41.6821885204703,"up"
"SDS",4.541520729416,0.991200138520997,11.9510107657441,4.61839090231879e-23,3.99726492626536e-22,41.6666612799668,"up"
"LINC01275",3.24503362789317,-2.49204134420202,11.9295070823167,5.24568996150368e-23,4.50621520395638e-22,41.6631445855873,"up"
"ANGPTL2",2.2506282310946,4.9860939501659,12.0366552370879,2.78115746740274e-23,2.46030965063403e-22,41.6615038214717,"up"
"KIAA1549L",-2.54443951548444,-0.424093435417851,-11.9415477217347,4.88462529915745e-23,4.21286696017011e-22,41.5261483397699,"down"
"SIGLEC9",2.40804355090759,0.919746319746074,11.9362424269819,5.04054640328189e-23,4.34082072698838e-22,41.5194811789755,"up"
"EDN1",3.02307828087744,4.80819563351582,11.9979963605221,3.49658628221153e-23,3.061736157084e-22,41.5135723859039,"up"
"WNT9B",-2.34905851602143,0.571763751569504,-11.9499928385063,4.64631816100253e-23,4.0194154342542e-22,41.4883666604559,"down"
"LINC02076",3.80102268947213,-1.46548101109082,11.9007789074112,6.21872903846213e-23,5.30765594432948e-22,41.4787740929926,"up"
"LINC01558",-2.36117813497903,0.0260150992587226,-11.9303727984092,5.21886140993863e-23,4.48540684833218e-22,41.4245094833523,"down"
"NCKAP1L",2.26260263975565,3.99885966656896,11.9746417297105,4.01522862318017e-23,3.50162921722627e-22,41.4175476580516,"up"
"LINC00240",2.6902759719545,1.23103088120746,11.9058047283468,6.03633197231438e-23,5.15453645354128e-22,41.3256615888295,"up"
"PBK",2.85010001191587,-0.14780482418006,11.887660144397,6.72123723442685e-23,5.70809192341838e-22,41.3194664237747,"up"
"TRPC7-AS1",-3.5052379852117,-1.98984465789436,-11.8893907616541,6.65268892546947e-23,5.65560690626948e-22,41.3144685542188,"down"
"C11orf21",2.2523834046486,0.192387643022815,11.884880468801,6.83281975348417e-23,5.79443310621822e-22,41.2656395669197,"up"
"HS3ST2",5.10153011495512,-0.60697620180588,11.8659073194255,7.64556505620947e-23,6.46138450872096e-22,41.261365593126,"up"
"CYP39A1",-2.26453587811195,1.84486345311164,-11.9361568698764,5.04310127768584e-23,4.34084942476809e-22,41.2598409721572,"down"
"IDO1",3.84147802067363,3.47100737538298,11.921261692625,5.50823166181196e-23,4.71527638279925e-22,41.2596887443703,"up"
"ADTRP",-2.34419616441342,1.12768590524919,-11.9198184099771,5.5555209148121e-23,4.7533942618534e-22,41.2490709153219,"down"
"SH3BP1",2.07201468623703,2.33546791966797,11.9125015051105,5.80158171326615e-23,4.95899847040104e-22,41.2387847652077,"up"
"EOMES",3.43599368071765,0.532092887461079,11.8733647334691,7.31517481189472e-23,6.19433026988528e-22,41.2074372758496,"up"
"C1QTNF6",2.05631123469911,3.50593393593894,11.9234815472862,5.43628274397376e-23,4.65831794114028e-22,41.1679892211565,"up"
"SLC7A7",-3.02191241915877,6.23504179055688,-11.9649829191424,4.25160537260829e-23,3.69466867690317e-22,41.1467631482269,"down"
"FOLH1B",-2.76541651201596,2.15423113991021,-11.9232075022002,5.44511385010927e-23,4.66356392684732e-22,41.1367022774798,"down"
"HOXB8",-2.33683735028343,2.47521613069012,-11.927462277093,5.30960758634905e-23,4.55203658361548e-22,41.131675765979,"down"
"TST",-2.09543582553738,5.48982660067392,-11.963643114021,4.28547536326093e-23,3.72034585872602e-22,41.1260287782382,"down"
"RFX8",3.12717790674408,-0.532146200577106,11.8492779376553,8.43705995326868e-23,7.10934836493002e-22,41.1214159624208,"up"
"FCGR1A",2.827336232137,3.02193112895461,11.8960651112216,6.39480958267889e-23,5.44983400820877e-22,41.1049069529085,"up"
"TRNP1",-2.86707892639364,1.41072184103118,-11.8938003607333,6.48117287471379e-23,5.51524424311409e-22,41.0492099342548,"down"
"HTR7",2.86492583101196,-1.31081590702447,11.8293861018256,9.49221236243817e-23,7.97892753024283e-22,41.0375638245122,"up"
"CAPN3",-2.77941529756892,1.74708423361842,-11.8984755953194,6.30415327567801e-23,5.37789884245773e-22,41.0373792390566,"down"
"WIF1",-3.27652751071016,-3.39327624036494,-11.8252511837259,9.72759947300853e-23,8.16864687994334e-22,41.0069888379424,"down"
"CDON",2.92752753934773,3.2899782134364,11.8813213662341,6.97839975487085e-23,5.91206455610737e-22,40.9913265899942,"up"
"DOK3",2.44353461311865,2.23859117189499,11.8621521784521,7.81754035984232e-23,6.5970077105238e-22,40.9689155201076,"up"
"CCDC188",2.41235466243374,-1.90263056084493,11.7883379634384,1.21053736714762e-22,1.00527741319085e-21,40.8151077078652,"up"
"CCL11",-3.46794564457796,-2.21266112081005,-11.7938283803756,1.17179547120926e-22,9.74044376478391e-22,40.7668639466672,"down"
"CD6",2.51031267179814,2.21420332848882,11.8271740280857,9.61742074935891e-23,8.08022929234815e-22,40.7654216450524,"up"
"SLAMF6",2.73441845258989,1.72768218939273,11.8162629745247,1.0259604111196e-22,8.58207409009907e-22,40.7554463844772,"up"
"F7",-3.06322394296204,-2.40967010233079,-11.7877935749127,1.2144478539542e-22,1.00755276172634e-21,40.7479946939965,"down"
"MTCL1",2.74211687363904,3.71781214012025,11.8452917115673,8.6386619383503e-23,7.26855157716034e-22,40.7216179319042,"up"
"GFI1",2.51385319971275,-0.0414056340139164,11.7765305354392,1.29824921996736e-22,1.07500530648091e-21,40.6499266504018,"up"
"RNF150",-2.37954814760721,0.345087478032862,-11.802717462006,1.11168353796557e-22,9.26313267477116e-22,40.639825108943,"down"
"TMEM255B",2.06636375786141,2.74452127268711,11.8168504842194,1.02239577108209e-22,8.56057548598163e-22,40.6286836561932,"up"
"CRB2",-3.47944355717435,0.469901250609463,-11.8027834408328,1.11124909247905e-22,9.26313267477116e-22,40.5974293102756,"down"
"PRKAR1B-AS1",2.30434136633782,0.389333473567555,11.7671561658494,1.37239185487319e-22,1.13367206245882e-21,40.5601226311117,"up"
"CD70",7.98506901367988,2.12386340340709,11.7484372375591,1.53335365357907e-22,1.26360378872014e-21,40.5124040734719,"up"
"PLCXD2",-2.59486329711137,1.90650292085479,-11.8098713130022,1.06555360526584e-22,8.8959773591908e-22,40.4991459095429,"down"
