"","baseMean","log2FoldChange","lfcSE","pvalue","padj","change"
"ACTN4P1",0.467686054009308,-2.12661586412427,0.588933449846613,0.000336212622203733,0.000655589274881605,"down"
"ACVR1C",9.12995096899379,-2.46350742370733,0.26300171036591,1.05399682788773e-21,7.08322370395202e-21,"down"
"ACY1",733.750372979685,-3.35378526280203,0.158996684830491,1.49778039556048e-99,1.73518976572246e-97,"down"
"ADA",282.286996651271,2.31963237599499,0.146547036229624,2.41581964799369e-57,7.16621354435429e-56,"up"
"ADAM12",147.904094761426,2.01932417479513,0.265098892672927,3.8792014011565e-15,1.78308495513877e-14,"up"
"ADAM18",64.1808683143065,10.0652342767338,0.852884725712552,3.66830995365792e-56,1.04553568642446e-54,"up"
"ADAMDEC1",121.252989212547,3.75122301281764,0.357003712079953,4.06609392322225e-27,3.52637106503364e-26,"up"
"ADAMTS10",387.143798906563,2.18078784206269,0.1809913378084,2.57792804661428e-34,3.136344435395e-33,"up"
"ADAMTS14",50.6957002756415,2.73458624229112,0.26341940815757,2.81448805025997e-26,2.35241093820365e-25,"up"
"ADAMTS16",148.49190861105,-2.39493386149902,0.257334047292166,2.99758368559644e-21,1.95577847304003e-20,"down"
"ADAMTS16-DT",23.975766366076,-2.56293359152625,0.325419224064613,7.19467992516828e-16,3.45006830184243e-15,"down"
"ADAMTS19",19.1490579704418,-7.25133016414239,0.329233647069793,3.08681728503085e-122,6.36102896453349e-120,"down"
"ADAMTS19-AS1",0.906569253109358,-7.54544388788423,1.32074008384144,2.53862843037022e-20,1.57303091084622e-19,"down"
"ADAMTS2",418.810479173816,2.28484714454834,0.182600818611095,8.55422618613997e-37,1.15877667812947e-35,"up"
"ADAMTS20",2.52722756106531,4.60445937814322,0.72375701202779,4.36216496958075e-10,1.44163175534569e-09,"up"
"ADAMTS4",881.903346539376,2.52324773122782,0.251901170412689,1.25398573753502e-24,9.69787840725357e-24,"up"
"ADAMTS7",129.625018392854,2.73912226882776,0.201464916965688,3.37350607210381e-43,6.0942949879759e-42,"up"
"ADAMTS7P3",8.61317718100226,2.81409098544761,0.292683554362553,7.3892366366457e-23,5.26839449849761e-22,"up"
"ADAMTSL4",431.793985182313,2.38436127949592,0.205248100368739,4.65525073004631e-32,5.1084905042346e-31,"up"
"ADCY2",157.256469262283,2.6339458879251,0.315211118574534,5.6996856383623e-18,3.09449474877371e-17,"up"
"ADCY6-DT",16.0761306174544,-2.12363601348747,0.190045961497604,4.05603913905959e-30,4.0242406217359e-29,"down"
"ADCY8",130.674332982618,3.13031458852563,0.484927569529784,5.80062428930586e-12,2.18990494813191e-11,"up"
"ADCYAP1R1",8.30048068396416,4.33853840726987,0.38970514352997,9.65844245593062e-18,5.17383232180355e-17,"up"
"ADD2",40.8180457130025,3.33445179694478,0.277208419531629,2.24619509606243e-34,2.73991089611889e-33,"up"
"ADGRA1",7.78868411658756,-2.95685750590697,0.505009663266895,8.86633802007902e-10,2.86911544101668e-09,"down"
"ADGRA2",1048.47190584841,2.10393542694939,0.171675569681797,3.44934604690505e-35,4.36055765734153e-34,"up"
"ADGRE1",68.9475472998655,2.51673928729597,0.182616291702034,4.52633939101544e-44,8.35847256615269e-43,"up"
"ADGRE2",186.914035088536,2.1821448817331,0.150771111703207,2.91980983304798e-48,6.33650435902659e-47,"up"
"ADGRF1",586.057342149783,-5.09782693620949,0.345037354010186,5.78628148466734e-66,2.48596587918752e-64,"down"
"ADGRF3",53.0802532464843,-2.94585293322603,0.204169517451716,3.20107952897259e-48,6.94044114633666e-47,"down"
"ADGRF4",13.2660025592084,2.84117446154396,0.461827037788029,6.10018197780403e-11,2.13735837398653e-10,"up"
"ADGRG2",72.5502011027275,2.55916695606606,0.223528094335862,3.25226991221004e-17,1.68556325786163e-16,"up"
"ADGRG5",685.974735387047,-2.24585199634175,0.235322733014855,3.2966741735068e-22,2.27321157252826e-21,"down"
"ADGRV1",491.730098230499,-3.96330410868031,0.184620927059042,5.68348050772644e-103,7.27173225840209e-101,"down"
"ADH1A",4.43138939248893,-2.82628334536045,0.313119225110615,3.43043375979423e-20,2.11269718409332e-19,"down"
"ADH1B",1405.45975491397,-2.9288840088152,0.31283795966212,1.51567848279999e-21,1.01013420579509e-20,"down"
"ADH1C",227.6301240548,-5.47094136775368,0.267870278045981,2.41599585154769e-93,2.38385082199744e-91,"down"
"ADH4",10.4530339102486,-4.91859833548154,0.343594562485621,1.16920376080424e-47,2.45824772004487e-46,"down"
"ADH6",1610.73501885731,-4.30205377764762,0.217713400877589,1.216802326926e-87,9.97692217774603e-86,"down"
"ADIG",1.40797427462177,-3.81273332505682,0.385447662343843,3.94217046623194e-28,3.59285250397953e-27,"down"
"ADM",6266.66370767109,2.88317249808976,0.151372169941803,3.69713784396891e-81,2.56014321955451e-79,"up"
"ADPGK-AS1",5.37143794159397,2.1268986362617,0.278247154532159,2.8911327209326e-15,1.33528721183787e-14,"up"
