"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AC020978.4",8.18144004597228,-2.03830405833631,0.237237225503935,-8.59183905058146,8.55882247874609e-18,2.97645228884849e-17,"down"
"LINC01880",5.11910138307612,2.80188945554543,0.326157358827742,8.59060628162993,8.65116034429775e-18,3.00727728435389e-17,"up"
"OXGR1",102.697417120114,-2.86847877352988,0.334025868857566,-8.58759467744412,8.88089321160933e-18,3.08614599055273e-17,"down"
"CDC42P3",3.18740103011633,2.33380674130584,0.271823870221989,8.58573141277072,9.02603191597333e-18,3.13423703862825e-17,"up"
"PDYN-AS1",5.49258433576707,-2.12811960012755,0.247891270796703,-8.58489124400366,9.0922401385198e-18,3.1565531254073e-17,"down"
"PHF21B",23.47052388,-2.37719027322094,0.276992020952824,-8.58216155484786,9.31067501030258e-18,3.23100698025114e-17,"down"
"AC024028.1",2.51779050755817,3.02856338206147,0.352992469364384,8.57968269837272,9.51352038764856e-18,3.30034184486252e-17,"up"
"AL132655.2",3.75780267517854,2.95092321886018,0.343952797796802,8.57944240536026,9.53341397607474e-18,3.3065374474364e-17,"up"
"DPYSL4",129.601926821562,2.31665009185366,0.270051547222388,8.57854774646374,9.60784342866545e-18,3.33164140823984e-17,"up"
"TRBV21-1",3.08753017777006,2.64815591505692,0.30876988887056,8.57647073276328,9.78285500629211e-18,3.39088211322689e-17,"up"
"AC025470.2",7.41316385607305,-2.16269187144125,0.252205392855246,-8.57512143954246,9.89822998218634e-18,3.43014133344948e-17,"down"
"CRX",5.59851903817813,3.06264383286114,0.357186280358291,8.57436021839647,9.96391169652556e-18,3.45179886340952e-17,"up"
"RNVU1-3",4.17528322068495,2.23370266201179,0.260540188878487,8.57335166458162,1.00515973219749e-17,3.48106293107576e-17,"up"
"SH2D6",15.3546348261977,-2.00838923929039,0.234267274533328,-8.57306784864085,1.00764098441548e-17,3.48928427379239e-17,"down"
"OR10A2",4.45603649111391,2.38773359292214,0.278555549592584,8.57183996662228,1.01844553646849e-17,3.5259473849898e-17,"up"
"AL110503.1",1.23972949810611,-5.44261894350545,0.635255999583488,-8.56759943561959,1.0566460945001e-17,3.65441821667138e-17,"down"
"RPS12P16",2.08756608747507,2.89886050376432,0.338487120945676,8.56416780545563,1.08859203306787e-17,3.76119017993445e-17,"up"
"AL132875.3",2.23669830529813,-3.0536923039812,0.356568204019079,-8.5641183637838,1.08905919478011e-17,3.76240439565425e-17,"down"
"CLEC4O",5.38612548872202,2.65493302716532,0.310071263925815,8.5623317477124,1.10607387541294e-17,3.82037352484056e-17,"up"
"AC067752.1",12.9981150810531,4.3622762537637,0.509474621606066,8.56230333909877,1.10634653027925e-17,3.82090931189294e-17,"up"
"AC011462.3",2.58082694577887,3.45755773787037,0.403859761225213,8.56128307356239,1.11618273397649e-17,3.85406101952646e-17,"up"
"RPL6P5",2.93770414370468,3.58146793330318,0.418400897109877,8.55989544487674,1.12969926023104e-17,3.89990371146341e-17,"up"
"AC134407.1",4.45698800909183,2.01000692194104,0.23485204913423,8.55860925783201,1.14237185619716e-17,3.94239561285704e-17,"up"
"AL035404.2",3.68349849727341,2.78592305104809,0.32558251396043,8.556734258114,1.16109763948712e-17,4.00446882687108e-17,"up"
"AC012157.2",2.42990714696543,2.25213103730099,0.263233608900403,8.555636366909,1.17220265170175e-17,4.04105365897903e-17,"up"
"AL031587.1",2.37132347197929,2.51346235608605,0.293799277457611,8.55503246242222,1.17835567542861e-17,4.0609736724805e-17,"up"
"AC016925.3",46.4544402545903,3.17959718686438,0.371874062116067,8.5501988731658,1.22876606971899e-17,4.23066682487763e-17,"up"
"AC007953.2",2.66288467535937,3.10076409169306,0.36275021968851,8.54793167142848,1.25313864432478e-17,4.31321166631595e-17,"up"
"AC009974.2",3.60025497515948,2.0398150004523,0.238762996888553,8.54326267903407,1.30484332935271e-17,4.48784932225213e-17,"up"
"AC068946.2",1.86031257460393,2.52760004189646,0.295864921380191,8.54308794062294,1.30681872343866e-17,4.4941679763321e-17,"up"
"AC068858.1",1.50068237493999,3.09253313259275,0.362002493565263,8.54285036032556,1.30950927126604e-17,4.50294445732894e-17,"up"
"AC023509.5",2.14228924804877,2.97523149491794,0.348407495466073,8.53951632394677,1.34784820041428e-17,4.63183902190991e-17,"up"
"LINC01928",4.03849538460375,-3.57166944467274,0.418421015799865,-8.53606609086077,1.38868948010186e-17,4.76815655984701e-17,"down"
"LINC00161",2.31706381709978,2.50838814361129,0.293861818121121,8.53594440968649,1.39015192770963e-17,4.77267388508949e-17,"up"
"SNCB",6.40965063390033,3.28206751128144,0.384529625008441,8.53527868290874,1.39818003169995e-17,4.79972910776492e-17,"up"
"PLG",2603.16315667125,-3.26062060195233,0.382082869190377,-8.53380474466573,1.41611762140077e-17,4.86027953485194e-17,"down"
"AC010255.2",9.17776793926783,3.33127065355388,0.390420539022597,8.53251896504624,1.43195067566409e-17,4.91358291272576e-17,"up"
"OR9A4",1.75138355143682,3.06851515468944,0.359686719651564,8.53107714864197,1.44991299360544e-17,4.97311896065829e-17,"up"
"AC112255.1",2.40979804141132,2.68812826407647,0.315171335424104,8.52910135517002,1.47488925060894e-17,5.05665204050263e-17,"up"
"IGHV3-30",490.417657064495,2.39366189151385,0.280702110452561,8.52740967160766,1.49661106342461e-17,5.1289615286602e-17,"up"
"AC112253.1",1.73585498390601,2.40758019806358,0.282346550549559,8.5270395313046,1.5014057233738e-17,5.14430845922839e-17,"up"
"AC002044.1",4.28282170971059,2.69067802984379,0.315569345037873,8.52642397670431,1.50941297456055e-17,5.17119890293907e-17,"up"
"TDGF1",233.341992742503,-3.41416435879654,0.400431377066052,-8.52621586203363,1.51212969008823e-17,5.17941461332611e-17,"down"
"ASS1P3",1.70607999772753,-2.08278867706743,0.244309655006982,-8.52520002538544,1.5254597669036e-17,5.22342232591837e-17,"down"
"UROC1",8.17965403249663,2.04085506782453,0.239482858700952,8.52192544758701,1.56922393154324e-17,5.3687540297347e-17,"up"
"AL022724.2",5.09270184756658,2.52669663604387,0.296614013613999,8.51846682919037,1.6167932981463e-17,5.52801149867882e-17,"up"
"AC092145.1",4.95014993927691,2.1462628816861,0.251993332828951,8.5171415354189,1.63539588352433e-17,5.58926458972798e-17,"up"
