"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ZFHX3",0.767316891941205,4.32537729390087,5.19047488198535,7.31835255729261e-07,1.61024334450144e-06,4.15225020182412,"stable"
"RAB5IF",-0.62455226673157,3.49084119913419,-5.17846852480733,7.72379535625634e-07,1.695551352435e-06,4.14596239489994,"stable"
"HOXA5",-0.578382412914053,3.83607784694228,-5.18809896257936,7.39690430771085e-07,1.62648751637811e-06,4.14307647917579,"stable"
"LTB",1.24244225717429,2.41279726966548,5.11270763342146,1.03633528286716e-06,2.25031683836505e-06,4.13507127824913,"stable"
"PPIP5K1",-0.413059086431996,3.80197249425154,-5.18363160917252,7.54683139094841e-07,1.65776065324967e-06,4.13338091914664,"stable"
"ASAH1-AS1",-0.822182901328867,-0.846665856029591,-5.04268400695264,1.41362387919845e-06,3.03101075891212e-06,4.13140035972678,"stable"
"RMND5A",-0.499535333295849,5.72008544099062,-5.21130890842741,6.66345724302315e-07,1.47047066323091e-06,4.13106004729545,"stable"
"LINC00654",1.01001506112171,-1.28939423185164,5.01889031738398,1.56994985239112e-06,3.35443548577798e-06,4.13087189882558,"stable"
"BGLAP",1.32424250879318,-1.18956932520882,5.01756453952454,1.5791375381153e-06,3.37155558956404e-06,4.12918737251774,"stable"
"ATF6",-0.484694136373258,5.8774838441253,-5.21007486048031,6.70060406819623e-07,1.47828910718952e-06,4.12554858468678,"stable"
"HAUS7",1.29897233070237,2.48906638024286,5.11226559526432,1.0383770027352e-06,2.25396594112971e-06,4.12376556356687,"stable"
"PLXNC1",0.747216751780545,3.96494798574956,5.17303430602413,7.91441543602478e-07,1.73518417895016e-06,4.12009055374613,"stable"
"DCSTAMP",1.57221137770221,-2.16535368879653,4.99380950960391,1.7528942608995e-06,3.72636141039576e-06,4.11894863249073,"stable"
"SH3GLB1",0.433602101598711,6.78405140543639,5.20653047285501,6.80842096437682e-07,1.50188322529148e-06,4.11581862947175,"stable"
"OGFOD1",-0.296691022590548,4.65394123749132,-5.19825109341735,7.06689698173991e-07,1.55650756832974e-06,4.11333294439524,"stable"
"SNORA31B",-0.995152534625065,-1.21919678002437,-5.02990325491363,1.49561137644429e-06,3.1995712495947e-06,4.1072573683371,"stable"
"MECR",-0.338127236555759,4.14297147415769,-5.18621655073523,7.45972224519365e-07,1.63946276587526e-06,4.1064869258543,"stable"
"ZNF346",0.332086346236355,3.61534400800747,5.16333202487784,8.2661999710543e-07,1.80977530842808e-06,4.10607226716853,"stable"
"THBD",0.735576900531702,4.0480512752875,5.17143528594643,7.97137227330616e-07,1.74678174242573e-06,4.10189540430085,"stable"
"DCLRE1A",-0.467709696929477,3.65084955033868,-5.17191846690504,7.95411950361449e-07,1.74344496122642e-06,4.0995571596837,"stable"
"POMT1",-0.401830585289445,4.82373546453678,-5.19788012164343,7.07869940576672e-07,1.55870824085794e-06,4.09853700766,"stable"
"RGP1",-0.453553425377831,4.94318388469565,-5.19917525326705,7.03757821908099e-07,1.55092214896059e-06,4.09686532174679,"stable"
"BORCS5",-0.428780997912647,1.86845206827373,-5.10463313218809,1.07425375045286e-06,2.32824856024752e-06,4.09004271174211,"stable"
"WDFY1",0.481381526141512,5.4576458619151,5.19916400800644,7.03793425947148e-07,1.55092214896059e-06,4.08808484345931,"stable"
"STK35",0.521137525894355,4.33580692614407,5.17759639290947,7.75408375432997e-07,1.70139852591175e-06,4.08138806424858,"stable"
"KANSL2",-0.303302955965433,4.54587698795508,-5.18870732013176,7.37671317526721e-07,1.62246221173151e-06,4.07961970366198,"stable"
"NOTCH1",1.05232203443575,4.1174688579441,5.1629910852343,8.27883459607629e-07,1.81231100675805e-06,4.07564706933789,"stable"
"RADIL",1.00328963849546,-1.84101019308689,4.99266270825173,1.76173644883814e-06,3.74330942566632e-06,4.06891619574268,"stable"
"LINC00622",-0.790226656911887,1.73289873950568,-5.09888972632906,1.10204311080668e-06,2.38577366103333e-06,4.06619976657388,"stable"
"ZMIZ2",0.842776680319668,5.97943205730505,5.1947083494871,7.18039574582955e-07,1.5808992552047e-06,4.06172846591467,"stable"
"LINC01354",1.77396352836647,-0.922441348296946,5.00329123647316,1.68142036190423e-06,3.58105301622929e-06,4.0579285219471,"stable"
"MIR140",1.39553419533706,-1.95747146401748,4.98508984751507,1.82122267258414e-06,3.86302960923311e-06,4.05756750995387,"stable"
"HNRNPAB",0.440643131787646,6.33613937116151,5.19187902096387,7.27231196616976e-07,1.60052225131184e-06,4.04612111116825,"stable"
"SFRP4",1.1383143375153,2.51561297437902,5.09786632043991,1.10706770296585e-06,2.3954462677925e-06,4.04565651561339,"stable"
"UBE2O",0.559025101918056,4.10187154833668,5.16197863919422,8.31646497164351e-07,1.82008574226854e-06,4.04533396657294,"stable"
"PGAM4",0.682478587628461,3.75497555691179,5.14925017627915,8.80399452729671e-07,1.92238414240757e-06,4.04263615827192,"stable"
"HPS3",0.633694037851493,5.20080157734566,5.18447160249379,7.51841664278333e-07,1.65194055527141e-06,4.03958879753093,"stable"
"DENND5B",-0.543086961300403,4.37432773212904,-5.1772008347825,7.76785924091243e-07,1.70392070377558e-06,4.03851663499805,"stable"
"RPL23AP74",0.714555946789212,0.931755870233097,5.05158208669347,1.35914058560234e-06,2.91704340869522e-06,4.03463653771184,"stable"
"ZNF107",0.630308692503735,2.3080360327557,5.09198442555819,1.13638085786554e-06,2.45640337370106e-06,4.02449128457352,"stable"
"PLCB4",1.0484178542233,3.68507620727259,5.13601785045074,9.34028875944207e-07,2.03406794426053e-06,4.02424121981553,"stable"
"UBAP2L",0.46023295487922,6.30284552505895,5.18536845806305,7.48819338659652e-07,1.64550994575261e-06,4.01742083275717,"stable"
"STX10",0.538616534225063,5.08139815202771,5.17758775117921,7.7543844521078e-07,1.70139852591175e-06,4.01459316662169,"stable"
"LINC02108",0.907448395121272,-1.07392600632895,4.99668339865822,1.73092465246177e-06,3.68147614184945e-06,4.01354874430788,"stable"
"ADORA2A",1.14113052171744,-0.476670128283803,5.0080123917502,1.64689592050938e-06,3.51099854756271e-06,4.01269803628609,"stable"
"KRBA2",-0.85858975308473,1.39169056434605,-5.07465566654718,1.22719704238969e-06,2.64407973526139e-06,4.0081172415176,"stable"
"RPL34-DT",-0.807411337139094,-1.94718887031933,-4.98807030720832,1.79758139002451e-06,3.81664573622002e-06,4.00356114782201,"stable"
"ZRSR2",0.747360754612191,4.07055752822018,5.14802619489494,8.85231589608453e-07,1.93146537580602e-06,4.00153206179762,"stable"
"BICD2",0.333247438488845,4.92595108620884,5.17145339282278,7.9707250809929e-07,1.74678174242573e-06,3.99181856066092,"stable"
