"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AC103563.2",-3.85741851953905,-3.6966592871923,-21.4005645432377,5.37456771511135e-76,1.84747319971238e-74,162.388858259597,"down"
"LINC01159",-2.71507060475606,1.7263988550813,-21.4224026611567,4.11904499972046e-76,1.42319374397558e-74,162.356492067997,"down"
"CYP17A1",-4.80414153386237,-1.46590561650617,-21.3972295679859,5.59741827560831e-76,1.92161304488617e-74,162.194913173538,"down"
"DUSP15",-3.03769741405375,1.52504227399439,-21.396287540109,5.66202321387429e-76,1.94130647583628e-74,162.032679804316,"down"
"CLDN11",-2.85928874816973,0.608255338466833,-21.3590883788746,8.90746124590369e-76,3.03850955375534e-74,161.683674827242,"down"
"ATP2C2",-2.90294624104285,-0.787296975322086,-21.3419778964495,1.09711581384836e-75,3.72824704700917e-74,161.583255041983,"down"
"CMTM4",-2.23493027337773,5.98389517048139,-21.3742349676447,7.40686608208605e-76,2.53630770616719e-74,161.510718722812,"down"
"DEGS2",-2.98686977388124,1.62228864390417,-21.348986727256,1.00735711011449e-75,3.43192615456031e-74,161.456958051682,"down"
"THRB",-2.34775451841305,3.78710222992392,-21.3601239700919,8.79581964795205e-76,3.00424861657185e-74,161.439660873482,"down"
"AC108174.1",-3.23009714074174,-4.85877373518599,-21.3018198772156,1.78900941180934e-75,6.0564293370495e-74,161.219890925675,"down"
"DPPA2",-3.09454806888439,-5.17074573774166,-21.2919519290194,2.01737733484354e-75,6.82092321586695e-74,161.105385533755,"down"
"WNT7B",-4.98372188366995,-1.77739018165495,-21.3027349304959,1.76918938136937e-75,5.99690337462398e-74,161.073686336798,"down"
"MESTIT1",-3.37691789884058,-4.22663741509408,-21.2835867284096,2.23364231348176e-75,7.54262187771698e-74,160.98666219863,"down"
"SFTA2",-4.10747524397491,-3.14561853144157,-21.2719792957794,2.57263234612046e-75,8.64378677496012e-74,160.806462486619,"down"
"AUXG01000058.1",-3.2781125502298,-0.633317640520659,-21.2778577016662,2.39497727028817e-75,8.06710183052344e-74,160.772272320559,"down"
"C2orf15",-2.01621317011861,0.747957058448989,-21.2731269021105,2.53694452643651e-75,8.53457423372843e-74,160.687401282392,"down"
"SLC30A2",-4.73622214623416,-0.131430079552537,-21.2548388009937,3.16945504129389e-75,1.06224285708965e-73,160.351379604022,"down"
"HOXB8",-3.08746195491967,2.5597464869516,-21.2643551434331,2.82280725127332e-75,9.47247910151943e-74,160.337403168476,"down"
"AL022069.1",-2.8205746271555,-3.0114485070375,-21.2290164564435,4.33976023041123e-75,1.45084353239134e-73,160.306608759897,"down"
"AC068707.1",-3.05791320381866,-3.7762236715742,-21.2119693569817,5.34015187833678e-75,1.78306540674926e-73,160.113349608962,"down"
"Z82185.1",-3.98833945636759,-5.26796581538389,-21.2073317172173,5.65015204224863e-75,1.88422732035784e-73,160.071580036227,"down"
"CD1D",2.5607403394394,2.98161938216662,21.1616785163446,9.84608142080501e-75,3.27534907015663e-73,159.419060527691,"up"
"PLXNA4",-3.17476100551977,0.807658388662064,-21.1711987763349,8.76940925851203e-75,2.92081243526987e-73,159.362606106018,"down"
