"","baseMean","log2FoldChange","lfcSE","pvalue","padj","change"
"LPCAT1",5197.66547452261,3.21403526155049,0.123846852888054,1.27751456552986e-148,4.50730366256488e-146,"up"
"LPCAT2",685.980427116773,-0.446562515374855,0.123486802877739,0.000267184813747538,0.000526545833862997,"stable"
"LPCAT4",539.882584556663,0.77520106263492,0.0991767457949197,3.69530980841241e-15,1.69956516292102e-14,"stable"
"LPGAT1",2072.29066106985,0.698134439001088,0.0844160647537195,9.93575311247842e-17,4.99274810050006e-16,"stable"
"LPIN1",662.885614665625,-0.522871842142015,0.132198257133966,6.53626205524758e-05,0.00013811560636887,"stable"
"LPIN2",2126.56276146873,-0.845658951205493,0.0909961885070633,1.03109709987075e-20,6.52803889820292e-20,"stable"
"LPIN3",1147.44000378724,0.968278048082277,0.114167307290404,1.2735146649493e-17,6.77675102559631e-17,"stable"
"LPO",0.591675867050684,-1.07935769682186,0.452932618006905,0.0117977859762394,0.0187870645040491,"stable"
"LPP",3811.79660609543,0.478146686816932,0.0859580884510344,2.78836974691123e-08,8.01802641721101e-08,"stable"
"LPXN",698.050126864497,0.955662006208644,0.0893918271072627,6.45264070334514e-27,5.56092492294948e-26,"stable"
"LRAT",112.801794621099,2.57088658299999,0.22747214358615,1.30171695804728e-30,1.32308079812698e-29,"up"
"LRATD1",539.484898544421,1.63442412077108,0.157173713488995,6.30098623027723e-26,5.17730294136329e-25,"stable"
"LRATD2",2273.24807818299,-0.950710379367811,0.112447932977443,1.76264656647168e-17,9.31358927770806e-17,"stable"
"LRBA",2071.16063729631,-0.660118843553058,0.108476871548129,9.18938796428131e-10,2.96705613056371e-09,"stable"
"LRCH3",835.871622078725,0.418976197169122,0.0743495322021777,1.47309511651931e-08,4.33879242135955e-08,"stable"
"LRCH4",735.337742430651,0.313023285742375,0.111991889266466,0.0048982196162421,0.00828442344449546,"stable"
"LRCOL1",8.74228387424768,0.728102460641581,0.266082951949567,0.00436869389620935,0.0074347296694534,"stable"
"LRFN1",39.4840194414041,1.89569010637013,0.220219423940043,1.11081582385773e-18,6.31043114768264e-18,"stable"
"LRFN2",1.55882870641488,0.254504414253959,0.244600326631761,5.38578016217715e-07,1.38962079619343e-06,"stable"
"LRFN3",92.8974372489428,-0.451851885113425,0.151787374365101,0.00257643677658048,0.00452620948920807,"stable"
"LRFN5",10.8609157036649,0.0926731843766452,0.265509448144847,4.52871917373336e-06,1.07498220876203e-05,"stable"
"LRG1",409.386630168128,2.49017953968162,0.290387195559491,9.63542878490534e-19,5.49389311178516e-18,"up"
"LRGUK",41.2588240626319,1.03532083422798,0.20291008396957,1.58989135895512e-07,4.30340697252458e-07,"stable"
"LRIG1",769.959764735116,0.522397287877429,0.108289413958306,1.19261703534698e-06,2.983913214257e-06,"stable"
"LRIG2-DT",20.1255956010734,0.731148025763868,0.183597272253227,4.56135137910571e-05,9.80120219745829e-05,"stable"
"LRIG3",894.832169602471,0.894692332900446,0.130675962770651,4.64352121370616e-12,1.76421985613251e-11,"stable"
"LRIT2",3.37466339856179,5.01569609696929,0.616798527670594,3.99466436098843e-09,1.22668804312247e-08,"up"
"LRIT3",20.8452283871559,-0.958109301226058,0.188555681865858,2.24965921566737e-07,6.00683000757144e-07,"stable"
"LRP1",4432.30711045766,2.00907790315039,0.154452148359756,1.24803777423882e-38,1.84636643017314e-37,"up"
"LRP1-AS",0.765365024549059,1.80346713196934,0.475867921518723,2.77658174723559e-05,6.11168187599281e-05,"stable"
"LRP10",4037.1281932894,-0.597787156008891,0.0773187655465511,7.59136125815953e-15,3.43982172129797e-14,"stable"
"LRP11",1093.41520677599,-0.78302053908916,0.093203406213616,2.78825324414019e-17,1.45251152221585e-16,"stable"
"LRP1B",32.1969204417979,-3.05299588276263,0.262209563157695,4.26639895421515e-32,4.68840802491052e-31,"down"
"LRP2",11858.9347366388,-0.618994968907928,0.208053360866869,0.00219676115307997,0.0038968370694462,"stable"
"LRP2BP",148.963203353646,0.505180604893397,0.124285569036765,4.07208684281054e-05,8.79534497928637e-05,"stable"
"LRP3",471.319053749553,0.829481188006554,0.15710756736019,8.272501145395e-08,2.29107352130909e-07,"stable"
"LRP4",252.042636406597,1.65454978133102,0.189718847921589,6.32763468729661e-19,3.64806391008638e-18,"stable"
"LRP4-AS1",2.3625660584332,1.25730839549738,0.302460301027666,1.24056984169795e-05,2.82660560995875e-05,"stable"
"LRP6",1234.85182342576,-0.514292548744504,0.105145635960396,8.66929152560679e-07,2.19713890362734e-06,"stable"
"LRPAP1",5670.67758446427,-0.950063622285414,0.0998492668103809,1.10631635584204e-21,7.43054013906481e-21,"stable"
"LRPPRC",5814.03279847883,-0.82750960101681,0.0860207765377342,2.68965357376398e-22,1.86180954573924e-21,"stable"
"LRRC1",533.463948703379,-0.350378860491581,0.0924015036945937,0.000136675253586192,0.000278981412605897,"stable"
"LRRC10B",89.9627733116563,1.92176510915281,0.222618160509057,9.6995318874659e-19,5.52908933981716e-18,"stable"
"LRRC14",546.034027044971,0.293820475482688,0.0896106066624758,0.000995529658753845,0.0018370634466869,"stable"
"LRRC14B",7.20282908700748,2.70583256815349,0.41916420230327,1.01571342525361e-11,3.77283503277326e-11,"up"
"LRRC15",19.306129525846,1.72404393143348,0.441729399175424,1.6915915318423e-05,3.81135949786935e-05,"stable"
